Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 114.0.0.0,,,2023-06-13 22:07:16,2023-06-13 22:08:35,1m - 19.316s,PASSED
,,,,,,,
Test Cases/Sub Admin/List,Chrome 114.0.0.0,,,2023-06-13 22:07:16,2023-06-13 22:07:46,30.286s,PASSED
"callTestCase(findTestCase(""Login Admin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-13 22:07:17,2023-06-13 22:07:41,24.180s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Sub Admin/Page_Dashboard/span_Sub-Admin""))",Chrome 114.0.0.0,,,2023-06-13 22:07:41,2023-06-13 22:07:42,0.745s,PASSED
"mouseOver(findTestObject(""Sub Admin/Page_Dashboard/span_Sub-Admin""))",Chrome 114.0.0.0,,,2023-06-13 22:07:42,2023-06-13 22:07:43,0.603s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Sub Admin/Page_Dashboard/span_List""))",Chrome 114.0.0.0,,,2023-06-13 22:07:43,2023-06-13 22:07:43,0.486s,PASSED
"mouseOver(findTestObject(""Sub Admin/Page_Dashboard/span_List""))",Chrome 114.0.0.0,,,2023-06-13 22:07:43,2023-06-13 22:07:44,0.589s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Sub Admin/Page_Dashboard/span_List""))",Chrome 114.0.0.0,,,2023-06-13 22:07:44,2023-06-13 22:07:44,0.490s,PASSED
"click(findTestObject(""Sub Admin/Page_Dashboard/span_List""))",Chrome 114.0.0.0,,,2023-06-13 22:07:44,2023-06-13 22:07:46,2.021s,PASSED
,,,,,,,
Test Cases/Sub Admin/Create,Chrome 114.0.0.0,,,2023-06-13 22:07:46,2023-06-13 22:07:52,5.915s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Sub Admin/Page_Dashboard/span_Sub-Admin""))",Chrome 114.0.0.0,,,2023-06-13 22:07:47,2023-06-13 22:07:48,0.546s,PASSED
"mouseOver(findTestObject(""Sub Admin/Page_Dashboard/span_Sub-Admin""))",Chrome 114.0.0.0,,,2023-06-13 22:07:48,2023-06-13 22:07:48,0.598s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Sub Admin/Page_Dashboard/span_Create""))",Chrome 114.0.0.0,,,2023-06-13 22:07:48,2023-06-13 22:07:49,0.465s,PASSED
"mouseOver(findTestObject(""Sub Admin/Page_Dashboard/span_Create""))",Chrome 114.0.0.0,,,2023-06-13 22:07:49,2023-06-13 22:07:49,0.560s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Sub Admin/Page_Dashboard/span_Create""))",Chrome 114.0.0.0,,,2023-06-13 22:07:49,2023-06-13 22:07:50,0.841s,PASSED
"click(findTestObject(""Sub Admin/Page_Dashboard/span_Create""))",Chrome 114.0.0.0,,,2023-06-13 22:07:50,2023-06-13 22:07:52,2.131s,PASSED
,,,,,,,
Test Cases/Sub Admin/Duplicate IP Logins,Chrome 114.0.0.0,,,2023-06-13 22:07:52,2023-06-13 22:07:58,5.560s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Sub Admin/Page_Dashboard/span_Sub-Admin""))",Chrome 114.0.0.0,,,2023-06-13 22:07:53,2023-06-13 22:07:54,0.823s,PASSED
"mouseOver(findTestObject(""Sub Admin/Page_Dashboard/span_Sub-Admin""))",Chrome 114.0.0.0,,,2023-06-13 22:07:54,2023-06-13 22:07:55,0.678s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Sub Admin/Page_Dashboard/span_Duplicate IP Logins""))",Chrome 114.0.0.0,,,2023-06-13 22:07:55,2023-06-13 22:07:55,0.520s,PASSED
"mouseOver(findTestObject(""Sub Admin/Page_Dashboard/span_Duplicate IP Logins""))",Chrome 114.0.0.0,,,2023-06-13 22:07:55,2023-06-13 22:07:56,0.542s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Sub Admin/Page_Dashboard/span_Duplicate IP Logins""))",Chrome 114.0.0.0,,,2023-06-13 22:07:56,2023-06-13 22:07:56,0.451s,PASSED
"click(findTestObject(""Sub Admin/Page_Dashboard/span_Duplicate IP Logins""))",Chrome 114.0.0.0,,,2023-06-13 22:07:56,2023-06-13 22:07:58,1.638s,PASSED
,,,,,,,
Test Cases/User/Shareholder/Create,Chrome 114.0.0.0,,,2023-06-13 22:07:58,2023-06-13 22:08:03,5.425s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:07:58,2023-06-13 22:07:59,0.670s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:07:59,2023-06-13 22:08:00,0.979s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Shareholder/span_Create""))",Chrome 114.0.0.0,,,2023-06-13 22:08:00,2023-06-13 22:08:01,0.457s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Shareholder/span_Create""))",Chrome 114.0.0.0,,,2023-06-13 22:08:01,2023-06-13 22:08:01,0.631s,PASSED
"click(findTestObject(""User/Page_Dashboard/Shareholder/span_Create""))",Chrome 114.0.0.0,,,2023-06-13 22:08:01,2023-06-13 22:08:03,2.010s,PASSED
,,,,,,,
Test Cases/User/Shareholder/List,Chrome 114.0.0.0,,,2023-06-13 22:08:03,2023-06-13 22:08:06,3.144s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:08:04,2023-06-13 22:08:04,0.455s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:08:04,2023-06-13 22:08:05,0.627s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Shareholder/span_List""))",Chrome 114.0.0.0,,,2023-06-13 22:08:05,2023-06-13 22:08:05,0.459s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Shareholder/span_List""))",Chrome 114.0.0.0,,,2023-06-13 22:08:05,2023-06-13 22:08:06,0.642s,PASSED
"click(findTestObject(""User/Page_Dashboard/Shareholder/span_List""))",Chrome 114.0.0.0,,,2023-06-13 22:08:06,2023-06-13 22:08:06,0.413s,PASSED
,,,,,,,
Test Cases/User/Shareholder/Limited List,Chrome 114.0.0.0,,,2023-06-13 22:08:06,2023-06-13 22:08:11,4.932s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:08:07,2023-06-13 22:08:07,0.457s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:08:07,2023-06-13 22:08:08,0.527s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Shareholder/span_Limited List""))",Chrome 114.0.0.0,,,2023-06-13 22:08:08,2023-06-13 22:08:08,0.457s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Shareholder/span_Limited List""))",Chrome 114.0.0.0,,,2023-06-13 22:08:08,2023-06-13 22:08:09,0.538s,PASSED
"click(findTestObject(""User/Page_Dashboard/Shareholder/span_Limited List""))",Chrome 114.0.0.0,,,2023-06-13 22:08:09,2023-06-13 22:08:11,2.392s,PASSED
,,,,,,,
Test Cases/User/Shareholder/All Wallet,Chrome 114.0.0.0,,,2023-06-13 22:08:11,2023-06-13 22:08:24,12.845s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:08:12,2023-06-13 22:08:22,10.061s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:08:22,2023-06-13 22:08:23,0.574s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Shareholder/span_All Wallet""))",Chrome 114.0.0.0,,,2023-06-13 22:08:23,2023-06-13 22:08:23,0.494s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Shareholder/span_All Wallet""))",Chrome 114.0.0.0,,,2023-06-13 22:08:23,2023-06-13 22:08:24,0.648s,PASSED
"click(findTestObject(""User/Page_Dashboard/Shareholder/span_All Wallet""))",Chrome 114.0.0.0,,,2023-06-13 22:08:24,2023-06-13 22:08:24,0.446s,PASSED
,,,,,,,
Test Cases/User/Shareholder/Negative Wallet,Chrome 114.0.0.0,,,2023-06-13 22:08:24,2023-06-13 22:08:27,2.973s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:08:25,2023-06-13 22:08:25,0.443s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:08:25,2023-06-13 22:08:26,0.553s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Shareholder/span_Negative Wallet""))",Chrome 114.0.0.0,,,2023-06-13 22:08:26,2023-06-13 22:08:26,0.461s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Shareholder/span_Negative Wallet""))",Chrome 114.0.0.0,,,2023-06-13 22:08:26,2023-06-13 22:08:27,0.559s,PASSED
"click(findTestObject(""User/Page_Dashboard/Shareholder/span_Negative Wallet""))",Chrome 114.0.0.0,,,2023-06-13 22:08:27,2023-06-13 22:08:27,0.436s,PASSED
,,,,,,,
Test Cases/User/Shareholder/Positive Wallet,Chrome 114.0.0.0,,,2023-06-13 22:08:27,2023-06-13 22:08:30,3.116s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:08:28,2023-06-13 22:08:28,0.426s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:08:28,2023-06-13 22:08:29,0.584s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Shareholder/span_Positive Wallet""))",Chrome 114.0.0.0,,,2023-06-13 22:08:29,2023-06-13 22:08:29,0.471s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Shareholder/span_Positive Wallet""))",Chrome 114.0.0.0,,,2023-06-13 22:08:29,2023-06-13 22:08:30,0.646s,PASSED
"click(findTestObject(""User/Page_Dashboard/Shareholder/span_Positive Wallet""))",Chrome 114.0.0.0,,,2023-06-13 22:08:30,2023-06-13 22:08:30,0.423s,PASSED
,,,,,,,
Test Cases/User/Shareholder/Duplicate IP Logins,Chrome 114.0.0.0,,,2023-06-13 22:08:30,2023-06-13 22:08:35,4.583s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:08:31,2023-06-13 22:08:31,0.419s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:08:31,2023-06-13 22:08:32,0.538s,PASSED
