Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 114.0.0.0,,,2023-07-04 00:10:55,2023-07-04 00:14:38,3m - 42.636s,PASSED
,,,,,,,
Test Cases/Transaction/Withdraw History MYR,Chrome 114.0.0.0,,,2023-07-04 00:10:55,2023-07-04 00:11:51,55.851s,PASSED
"callTestCase(findTestCase(""Login Admin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-04 00:10:56,2023-07-04 00:11:20,24.166s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Page_Dashboard/span_Transaction""))",Chrome 114.0.0.0,,,2023-07-04 00:11:20,2023-07-04 00:11:21,0.734s,PASSED
"mouseOver(findTestObject(""Transaction/Page_Dashboard/span_Transaction""))",Chrome 114.0.0.0,,,2023-07-04 00:11:21,2023-07-04 00:11:22,0.652s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Page_Dashboard/span_Withdraw history""))",Chrome 114.0.0.0,,,2023-07-04 00:11:22,2023-07-04 00:11:22,0.518s,PASSED
"mouseOver(findTestObject(""Transaction/Page_Dashboard/span_Withdraw history""))",Chrome 114.0.0.0,,,2023-07-04 00:11:22,2023-07-04 00:11:23,0.600s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Withdraw history/span_MYR""))",Chrome 114.0.0.0,,,2023-07-04 00:11:23,2023-07-04 00:11:24,0.516s,PASSED
"click(findTestObject(""Transaction/Withdraw history/span_MYR""))",Chrome 114.0.0.0,,,2023-07-04 00:11:24,2023-07-04 00:11:26,2.002s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Withdraw history/h3_Member Withdraw History""))",Chrome 114.0.0.0,,,2023-07-04 00:11:26,2023-07-04 00:11:26,0.942s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Withdraw history/input_Date Range_form-control date_range""))",Chrome 114.0.0.0,,,2023-07-04 00:11:26,2023-07-04 00:11:27,0.930s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Withdraw history/select_Approve""))",Chrome 114.0.0.0,,,2023-07-04 00:11:27,2023-07-04 00:11:28,0.496s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Withdraw history/button_Search""))",Chrome 114.0.0.0,,,2023-07-04 00:11:28,2023-07-04 00:11:28,0.493s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Withdraw history/h3_Member Withdraw History""))",Chrome 114.0.0.0,,,2023-07-04 00:11:28,2023-07-04 00:11:29,0.443s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Withdraw history/input_Date Range_form-control date_range""))",Chrome 114.0.0.0,,,2023-07-04 00:11:29,2023-07-04 00:11:29,0.402s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Withdraw history/select_Approve""))",Chrome 114.0.0.0,,,2023-07-04 00:11:29,2023-07-04 00:11:30,0.422s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Withdraw history/button_Search""))",Chrome 114.0.0.0,,,2023-07-04 00:11:30,2023-07-04 00:11:30,0.419s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Withdraw history/select_1050100200All""))",Chrome 114.0.0.0,,,2023-07-04 00:11:30,2023-07-04 00:11:31,0.462s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Withdraw history/span_Copy""))",Chrome 114.0.0.0,,,2023-07-04 00:11:31,2023-07-04 00:11:31,0.478s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Withdraw history/span_CSV""))",Chrome 114.0.0.0,,,2023-07-04 00:11:31,2023-07-04 00:11:32,0.529s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Withdraw history/span_Excel""))",Chrome 114.0.0.0,,,2023-07-04 00:11:32,2023-07-04 00:11:32,0.576s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Withdraw history/span_PDF""))",Chrome 114.0.0.0,,,2023-07-04 00:11:32,2023-07-04 00:11:33,0.484s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Withdraw history/input_Search_form-control form-control-sm""))",Chrome 114.0.0.0,,,2023-07-04 00:11:33,2023-07-04 00:11:33,0.495s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Withdraw history/select_1050100200All""))",Chrome 114.0.0.0,,,2023-07-04 00:11:33,2023-07-04 00:11:34,0.408s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Withdraw history/span_Copy""))",Chrome 114.0.0.0,,,2023-07-04 00:11:34,2023-07-04 00:11:34,0.408s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Withdraw history/span_CSV""))",Chrome 114.0.0.0,,,2023-07-04 00:11:34,2023-07-04 00:11:34,0.385s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Withdraw history/span_Excel""))",Chrome 114.0.0.0,,,2023-07-04 00:11:34,2023-07-04 00:11:35,0.402s,PASSED
