Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 114.0.0.0,,,2023-06-13 22:29:02,2023-06-13 22:30:24,1m - 21.553s,PASSED
,,,,,,,
Test Cases/User/Shareholder/Create,Chrome 114.0.0.0,,,2023-06-13 22:29:03,2023-06-13 22:29:40,36.686s,PASSED
"callTestCase(findTestCase(""Login Admin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-13 22:29:04,2023-06-13 22:29:34,30.237s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:29:34,2023-06-13 22:29:35,0.751s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:29:35,2023-06-13 22:29:35,0.614s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Shareholder/span_Create""))",Chrome 114.0.0.0,,,2023-06-13 22:29:35,2023-06-13 22:29:36,0.495s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Shareholder/span_Create""))",Chrome 114.0.0.0,,,2023-06-13 22:29:36,2023-06-13 22:29:36,0.559s,PASSED
"click(findTestObject(""User/Page_Dashboard/Shareholder/span_Create""))",Chrome 114.0.0.0,,,2023-06-13 22:29:36,2023-06-13 22:29:40,3.286s,PASSED
,,,,,,,
Test Cases/User/Shareholder/List,Chrome 114.0.0.0,,,2023-06-13 22:29:40,2023-06-13 22:29:42,2.678s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:29:40,2023-06-13 22:29:41,0.468s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:29:41,2023-06-13 22:29:41,0.545s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Shareholder/span_List_User""))",Chrome 114.0.0.0,,,2023-06-13 22:29:41,2023-06-13 22:29:42,0.469s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Shareholder/span_List_User""))",Chrome 114.0.0.0,,,2023-06-13 22:29:42,2023-06-13 22:29:42,0.568s,PASSED
,,,,,,,
Test Cases/User/Shareholder/Limited List,Chrome 114.0.0.0,,,2023-06-13 22:29:42,2023-06-13 22:29:47,4.529s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-13 22:29:43,2023-06-13 22:29:44,0.516s,PASSED
