Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 114.0.0.0,,,2023-06-14 17:19:43,2023-06-14 17:20:31,47.513s,PASSED
,,,,,,,
Test Cases/Transaction/Online Payment,Chrome 114.0.0.0,,,2023-06-14 17:19:44,2023-06-14 17:20:13,29.443s,PASSED
"callTestCase(findTestCase(""Login Admin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-14 17:19:45,2023-06-14 17:20:11,26.395s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Page_Dashboard/span_Transaction""))",Chrome 114.0.0.0,,,2023-06-14 17:20:11,2023-06-14 17:20:12,0.682s,PASSED
"mouseOver(findTestObject(""Transaction/Page_Dashboard/span_Transaction""))",Chrome 114.0.0.0,,,2023-06-14 17:20:12,2023-06-14 17:20:12,0.587s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Page_Dashboard/span_Online Payment""))",Chrome 114.0.0.0,,,2023-06-14 17:20:12,2023-06-14 17:20:13,0.483s,PASSED
"mouseOver(findTestObject(""Transaction/Page_Dashboard/span_Online Payment""))",Chrome 114.0.0.0,,,2023-06-14 17:20:13,2023-06-14 17:20:13,0.577s,PASSED
,,,,,,,
Test Cases/Transaction/Topup,Chrome 114.0.0.0,,,2023-06-14 17:20:13,2023-06-14 17:20:16,2.598s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Page_Dashboard/span_Transaction""))",Chrome 114.0.0.0,,,2023-06-14 17:20:14,2023-06-14 17:20:14,0.466s,PASSED
"mouseOver(findTestObject(""Transaction/Page_Dashboard/span_Transaction""))",Chrome 114.0.0.0,,,2023-06-14 17:20:14,2023-06-14 17:20:15,0.533s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Page_Dashboard/span_Topup""))",Chrome 114.0.0.0,,,2023-06-14 17:20:15,2023-06-14 17:20:15,0.454s,PASSED
"mouseOver(findTestObject(""Transaction/Page_Dashboard/span_Topup""))",Chrome 114.0.0.0,,,2023-06-14 17:20:15,2023-06-14 17:20:16,0.596s,PASSED
,,,,,,,
Test Cases/Transaction/Withdraw,Chrome 114.0.0.0,,,2023-06-14 17:20:16,2023-06-14 17:20:19,3.337s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Page_Dashboard/span_Transaction""))",Chrome 114.0.0.0,,,2023-06-14 17:20:17,2023-06-14 17:20:17,0.472s,PASSED
"mouseOver(findTestObject(""Transaction/Page_Dashboard/span_Transaction""))",Chrome 114.0.0.0,,,2023-06-14 17:20:17,2023-06-14 17:20:18,0.522s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Page_Dashboard/span_Withdraw""))",Chrome 114.0.0.0,,,2023-06-14 17:20:18,2023-06-14 17:20:18,0.548s,PASSED
"mouseOver(findTestObject(""Transaction/Page_Dashboard/span_Withdraw""))",Chrome 114.0.0.0,,,2023-06-14 17:20:18,2023-06-14 17:20:19,1.052s,PASSED
,,,,,,,
Test Cases/Transaction/Topup History,Chrome 114.0.0.0,,,2023-06-14 17:20:19,2023-06-14 17:20:22,2.861s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Page_Dashboard/span_Transaction""))",Chrome 114.0.0.0,,,2023-06-14 17:20:20,2023-06-14 17:20:21,0.575s,PASSED
"mouseOver(findTestObject(""Transaction/Page_Dashboard/span_Transaction""))",Chrome 114.0.0.0,,,2023-06-14 17:20:21,2023-06-14 17:20:21,0.550s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Page_Dashboard/span_Topup history""))",Chrome 114.0.0.0,,,2023-06-14 17:20:21,2023-06-14 17:20:22,0.480s,PASSED
