Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 114.0.0.0,,,2023-07-14 19:50:08,2023-07-14 19:52:53,2m - 44.974s,PASSED
,,,,,,,
Test Cases/Leaderboard/List MYR,Chrome 114.0.0.0,,,2023-07-14 19:50:09,2023-07-14 19:51:02,52.489s,PASSED
"callTestCase(findTestCase(""Login Admin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-14 19:50:10,2023-07-14 19:50:33,23.425s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Page_Dashboard/span_leaderboard""))",Chrome 114.0.0.0,,,2023-07-14 19:50:33,2023-07-14 19:50:34,0.692s,PASSED
"mouseOver(findTestObject(""Leaderboard/Page_Dashboard/span_leaderboard""))",Chrome 114.0.0.0,,,2023-07-14 19:50:34,2023-07-14 19:50:35,0.664s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Page_Dashboard/span_List""))",Chrome 114.0.0.0,,,2023-07-14 19:50:35,2023-07-14 19:50:35,0.489s,PASSED
"mouseOver(findTestObject(""Leaderboard/Page_Dashboard/span_List""))",Chrome 114.0.0.0,,,2023-07-14 19:50:35,2023-07-14 19:50:36,0.597s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Page_Dashboard/span_MYR""))",Chrome 114.0.0.0,,,2023-07-14 19:50:36,2023-07-14 19:50:36,0.546s,PASSED
"mouseOver(findTestObject(""Leaderboard/Page_Dashboard/span_MYR""))",Chrome 114.0.0.0,,,2023-07-14 19:50:36,2023-07-14 19:50:37,0.562s,PASSED
"click(findTestObject(""Leaderboard/Page_Dashboard/span_MYR""))",Chrome 114.0.0.0,,,2023-07-14 19:50:37,2023-07-14 19:50:40,3.130s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/h3_Leaderboard Management""))",Chrome 114.0.0.0,,,2023-07-14 19:50:40,2023-07-14 19:50:41,0.531s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/button_Add""))",Chrome 114.0.0.0,,,2023-07-14 19:50:41,2023-07-14 19:50:41,0.462s,PASSED
"verifyElementVisible(findTestObject(""Leaderboard/Leaderboard List/h3_Leaderboard Management""))",Chrome 114.0.0.0,,,2023-07-14 19:50:41,2023-07-14 19:50:42,0.459s,PASSED
"verifyElementVisible(findTestObject(""Leaderboard/Leaderboard List/button_Add""))",Chrome 114.0.0.0,,,2023-07-14 19:50:42,2023-07-14 19:50:42,0.426s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/select_102550100""))",Chrome 114.0.0.0,,,2023-07-14 19:50:42,2023-07-14 19:50:42,0.476s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/span_Copy""))",Chrome 114.0.0.0,,,2023-07-14 19:50:42,2023-07-14 19:50:43,0.467s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/span_CSV""))",Chrome 114.0.0.0,,,2023-07-14 19:50:43,2023-07-14 19:50:43,0.566s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/span_Excel""))",Chrome 114.0.0.0,,,2023-07-14 19:50:43,2023-07-14 19:50:44,0.472s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/span_PDF""))",Chrome 114.0.0.0,,,2023-07-14 19:50:44,2023-07-14 19:50:44,0.471s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/input_Search_form-control form-control-sm""))",Chrome 114.0.0.0,,,2023-07-14 19:50:44,2023-07-14 19:50:45,0.475s,PASSED
"verifyElementVisible(findTestObject(""Leaderboard/Leaderboard List/select_102550100""))",Chrome 114.0.0.0,,,2023-07-14 19:50:45,2023-07-14 19:50:45,0.435s,PASSED
"verifyElementVisible(findTestObject(""Leaderboard/Leaderboard List/span_Copy""))",Chrome 114.0.0.0,,,2023-07-14 19:50:45,2023-07-14 19:50:46,0.458s,PASSED
"verifyElementVisible(findTestObject(""Leaderboard/Leaderboard List/span_CSV""))",Chrome 114.0.0.0,,,2023-07-14 19:50:46,2023-07-14 19:50:46,0.415s,PASSED
"verifyElementVisible(findTestObject(""Leaderboard/Leaderboard List/span_Excel""))",Chrome 114.0.0.0,,,2023-07-14 19:50:46,2023-07-14 19:50:47,0.385s,PASSED
"verifyElementVisible(findTestObject(""Leaderboard/Leaderboard List/span_PDF""))",Chrome 114.0.0.0,,,2023-07-14 19:50:47,2023-07-14 19:50:47,0.403s,PASSED
"verifyElementVisible(findTestObject(""Leaderboard/Leaderboard List/input_Search_form-control form-control-sm""))",Chrome 114.0.0.0,,,2023-07-14 19:50:47,2023-07-14 19:50:47,0.416s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/th_Name EN""))",Chrome 114.0.0.0,,,2023-07-14 19:50:47,2023-07-14 19:50:48,0.508s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/th_Name BM""))",Chrome 114.0.0.0,,,2023-07-14 19:50:48,2023-07-14 19:50:48,0.506s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/th_Name CN""))",Chrome 114.0.0.0,,,2023-07-14 19:50:48,2023-07-14 19:50:49,0.477s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/th_Name TH""))",Chrome 114.0.0.0,,,2023-07-14 19:50:49,2023-07-14 19:50:49,0.458s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/th_Description""))",Chrome 114.0.0.0,,,2023-07-14 19:50:49,2023-07-14 19:50:50,0.461s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/th_Banner ImageEN""))",Chrome 114.0.0.0,,,2023-07-14 19:50:50,2023-07-14 19:50:50,0.493s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/th_Banner ImageBM""))",Chrome 114.0.0.0,,,2023-07-14 19:50:50,2023-07-14 19:50:51,0.478s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/th_Banner ImageCN""))",Chrome 114.0.0.0,,,2023-07-14 19:50:51,2023-07-14 19:50:51,0.490s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/th_Banner ImageTH""))",Chrome 114.0.0.0,,,2023-07-14 19:50:51,2023-07-14 19:50:52,0.463s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/th_Start Datetime""))",Chrome 114.0.0.0,,,2023-07-14 19:50:52,2023-07-14 19:50:52,0.482s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/th_End Datetime""))",Chrome 114.0.0.0,,,2023-07-14 19:50:52,2023-07-14 19:50:53,0.466s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/th_Status""))",Chrome 114.0.0.0,,,2023-07-14 19:50:53,2023-07-14 19:50:53,0.456s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/th_Action""))",Chrome 114.0.0.0,,,2023-07-14 19:50:53,2023-07-14 19:50:54,0.465s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Leaderboard/Leaderboard List/table_Name ENName BMName CNName THDescriptionBanner ImageENBanner ImageBMBanner ImageCNBanner ImageTHStart DatetimeEnd DatetimeStatusAction""))",Chrome 114.0.0.0,,,2023-07-14 19:50:54,2023-07-14 19:50:54,0.464s,PASSED
