Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 114.0.0.0,,,2023-06-16 22:19:26,2023-06-16 22:20:31,1m - 4.444s,PASSED
,,,,,,,
Test Cases/Announcement/Public,Chrome 114.0.0.0,,,2023-06-16 22:19:27,2023-06-16 22:20:01,34.492s,PASSED
"callTestCase(findTestCase(""Login Admin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-16 22:19:28,2023-06-16 22:19:53,25.118s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Announcement/Page_Dashboard/span_Announcement""))",Chrome 114.0.0.0,,,2023-06-16 22:19:53,2023-06-16 22:19:53,0.692s,PASSED
"mouseOver(findTestObject(""Announcement/Page_Dashboard/span_Announcement""))",Chrome 114.0.0.0,,,2023-06-16 22:19:53,2023-06-16 22:19:54,0.628s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Announcement/Page_Dashboard/span_Public""))",Chrome 114.0.0.0,,,2023-06-16 22:19:54,2023-06-16 22:19:55,0.723s,PASSED
"mouseOver(findTestObject(""Announcement/Page_Dashboard/span_Public""))",Chrome 114.0.0.0,,,2023-06-16 22:19:55,2023-06-16 22:20:01,6.527s,PASSED
,,,,,,,
Test Cases/Announcement/Member,Chrome 114.0.0.0,,,2023-06-16 22:20:01,2023-06-16 22:20:04,2.625s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Announcement/Page_Dashboard/span_Announcement""))",Chrome 114.0.0.0,,,2023-06-16 22:20:02,2023-06-16 22:20:02,0.461s,PASSED
"mouseOver(findTestObject(""Announcement/Page_Dashboard/span_Announcement""))",Chrome 114.0.0.0,,,2023-06-16 22:20:02,2023-06-16 22:20:03,0.549s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Announcement/Page_Dashboard/span_Member""))",Chrome 114.0.0.0,,,2023-06-16 22:20:03,2023-06-16 22:20:03,0.466s,PASSED
"mouseOver(findTestObject(""Announcement/Page_Dashboard/span_Member""))",Chrome 114.0.0.0,,,2023-06-16 22:20:03,2023-06-16 22:20:04,0.549s,PASSED
,,,,,,,
Test Cases/Announcement/Shareholder,Chrome 114.0.0.0,,,2023-06-16 22:20:04,2023-06-16 22:20:07,2.871s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Announcement/Page_Dashboard/span_Announcement""))",Chrome 114.0.0.0,,,2023-06-16 22:20:05,2023-06-16 22:20:05,0.546s,PASSED
"mouseOver(findTestObject(""Announcement/Page_Dashboard/span_Announcement""))",Chrome 114.0.0.0,,,2023-06-16 22:20:05,2023-06-16 22:20:06,0.562s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Announcement/Page_Dashboard/span_Shareholder""))",Chrome 114.0.0.0,,,2023-06-16 22:20:06,2023-06-16 22:20:06,0.469s,PASSED
"mouseOver(findTestObject(""Announcement/Page_Dashboard/span_Shareholder""))",Chrome 114.0.0.0,,,2023-06-16 22:20:06,2023-06-16 22:20:07,0.524s,PASSED
,,,,,,,
Test Cases/Game/Product List,Chrome 114.0.0.0,,,2023-06-16 22:20:07,2023-06-16 22:20:10,2.710s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Game/Page_Dashboard/span_Game""))",Chrome 114.0.0.0,,,2023-06-16 22:20:07,2023-06-16 22:20:08,0.520s,PASSED
"mouseOver(findTestObject(""Game/Page_Dashboard/span_Game""))",Chrome 114.0.0.0,,,2023-06-16 22:20:08,2023-06-16 22:20:09,0.547s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Game/Page_Dashboard/span_Product List""))",Chrome 114.0.0.0,,,2023-06-16 22:20:09,2023-06-16 22:20:09,0.463s,PASSED
"mouseOver(findTestObject(""Game/Page_Dashboard/span_Product List""))",Chrome 114.0.0.0,,,2023-06-16 22:20:09,2023-06-16 22:20:10,0.602s,PASSED
,,,,,,,
Test Cases/Game/Product Sequence,Chrome 114.0.0.0,,,2023-06-16 22:20:10,2023-06-16 22:20:12,2.577s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Game/Page_Dashboard/span_Game""))",Chrome 114.0.0.0,,,2023-06-16 22:20:10,2023-06-16 22:20:11,0.475s,PASSED
"mouseOver(findTestObject(""Game/Page_Dashboard/span_Game""))",Chrome 114.0.0.0,,,2023-06-16 22:20:11,2023-06-16 22:20:11,0.535s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Game/Page_Dashboard/span_Product Sequence""))",Chrome 114.0.0.0,,,2023-06-16 22:20:11,2023-06-16 22:20:12,0.473s,PASSED
"mouseOver(findTestObject(""Game/Page_Dashboard/span_Product Sequence""))",Chrome 114.0.0.0,,,2023-06-16 22:20:12,2023-06-16 22:20:12,0.530s,PASSED
,,,,,,,
Test Cases/Game/Lucky Draw,Chrome 114.0.0.0,,,2023-06-16 22:20:12,2023-06-16 22:20:15,2.727s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Game/Page_Dashboard/span_Game""))",Chrome 114.0.0.0,,,2023-06-16 22:20:13,2023-06-16 22:20:13,0.514s,PASSED
