Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 114.0.0.0,,,2023-07-12 21:54:51,2023-07-12 21:57:15,2m - 24.002s,PASSED
,,,,,,,
Test Cases/Bank/List MYR,Chrome 114.0.0.0,,,2023-07-12 21:54:51,2023-07-12 21:55:40,49.305s,PASSED
"callTestCase(findTestCase(""Login Admin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-12 21:54:52,2023-07-12 21:55:15,23.107s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Bank/Page_Dashboard/span_Bank""))",Chrome 114.0.0.0,,,2023-07-12 21:55:15,2023-07-12 21:55:16,0.650s,PASSED
"mouseOver(findTestObject(""Bank/Page_Dashboard/span_Bank""))",Chrome 114.0.0.0,,,2023-07-12 21:55:16,2023-07-12 21:55:16,0.637s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Bank/Page_Dashboard/span_List""))",Chrome 114.0.0.0,,,2023-07-12 21:55:16,2023-07-12 21:55:17,0.489s,PASSED
"mouseOver(findTestObject(""Bank/Page_Dashboard/span_List""))",Chrome 114.0.0.0,,,2023-07-12 21:55:17,2023-07-12 21:55:18,0.630s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Bank/Bank List/span_MYR""))",Chrome 114.0.0.0,,,2023-07-12 21:55:18,2023-07-12 21:55:18,0.531s,PASSED
"mouseOver(findTestObject(""Bank/Bank List/span_MYR""))",Chrome 114.0.0.0,,,2023-07-12 21:55:18,2023-07-12 21:55:19,0.561s,PASSED
"click(findTestObject(""Bank/Bank List/span_MYR""))",Chrome 114.0.0.0,,,2023-07-12 21:55:19,2023-07-12 21:55:23,4.320s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Bank/Bank List/h3_Edit""))",Chrome 114.0.0.0,,,2023-07-12 21:55:23,2023-07-12 21:55:24,0.495s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Bank/Bank List/button_Add""))",Chrome 114.0.0.0,,,2023-07-12 21:55:24,2023-07-12 21:55:24,0.554s,PASSED
"verifyElementVisible(findTestObject(""Bank/Bank List/h3_Edit""))",Chrome 114.0.0.0,,,2023-07-12 21:55:24,2023-07-12 21:55:24,0.428s,PASSED
"verifyElementVisible(findTestObject(""Bank/Bank List/button_Add""))",Chrome 114.0.0.0,,,2023-07-12 21:55:24,2023-07-12 21:55:25,0.434s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Bank/Bank List/select_102550100""))",Chrome 114.0.0.0,,,2023-07-12 21:55:25,2023-07-12 21:55:25,0.480s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Bank/Bank List/span_Copy""))",Chrome 114.0.0.0,,,2023-07-12 21:55:25,2023-07-12 21:55:26,0.497s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Bank/Bank List/span_CSV""))",Chrome 114.0.0.0,,,2023-07-12 21:55:26,2023-07-12 21:55:26,0.549s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Bank/Bank List/span_Excel""))",Chrome 114.0.0.0,,,2023-07-12 21:55:26,2023-07-12 21:55:27,0.468s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Bank/Bank List/span_PDF""))",Chrome 114.0.0.0,,,2023-07-12 21:55:27,2023-07-12 21:55:27,0.504s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Bank/Bank List/input_Search_form-control form-control-sm""))",Chrome 114.0.0.0,,,2023-07-12 21:55:27,2023-07-12 21:55:28,0.566s,PASSED
"verifyElementVisible(findTestObject(""Bank/Bank List/select_102550100""))",Chrome 114.0.0.0,,,2023-07-12 21:55:28,2023-07-12 21:55:28,0.432s,PASSED
