Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 114.0.0.0,,,2023-07-04 00:39:35,2023-07-04 00:42:23,2m - 47.425s,PASSED
,,,,,,,
Test Cases/Transaction/Finance Details MYR,Chrome 114.0.0.0,,,2023-07-04 00:39:36,2023-07-04 00:40:29,53.248s,PASSED
"callTestCase(findTestCase(""Login Admin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-04 00:39:36,2023-07-04 00:39:59,22.052s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Page_Dashboard/span_Transaction""))",Chrome 114.0.0.0,,,2023-07-04 00:39:59,2023-07-04 00:39:59,0.728s,PASSED
"mouseOver(findTestObject(""Transaction/Page_Dashboard/span_Transaction""))",Chrome 114.0.0.0,,,2023-07-04 00:39:59,2023-07-04 00:40:00,0.612s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Page_Dashboard/span_Finance Details""))",Chrome 114.0.0.0,,,2023-07-04 00:40:00,2023-07-04 00:40:00,0.489s,PASSED
"mouseOver(findTestObject(""Transaction/Page_Dashboard/span_Finance Details""))",Chrome 114.0.0.0,,,2023-07-04 00:40:00,2023-07-04 00:40:01,0.630s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/span_MYR""))",Chrome 114.0.0.0,,,2023-07-04 00:40:01,2023-07-04 00:40:01,0.490s,PASSED
"mouseOver(findTestObject(""Transaction/Finance Details/span_MYR""))",Chrome 114.0.0.0,,,2023-07-04 00:40:01,2023-07-04 00:40:02,0.570s,PASSED
"click(findTestObject(""Transaction/Finance Details/span_MYR""))",Chrome 114.0.0.0,,,2023-07-04 00:40:02,2023-07-04 00:40:06,4.318s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/h3_Finance Details""))",Chrome 114.0.0.0,,,2023-07-04 00:40:06,2023-07-04 00:40:07,0.925s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/select_All""))",Chrome 114.0.0.0,,,2023-07-04 00:40:07,2023-07-04 00:40:08,0.465s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/select_All_adjustment""))",Chrome 114.0.0.0,,,2023-07-04 00:40:08,2023-07-04 00:40:08,0.481s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/input_Date Range_form-control date_range""))",Chrome 114.0.0.0,,,2023-07-04 00:40:08,2023-07-04 00:40:09,0.496s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/button_Search""))",Chrome 114.0.0.0,,,2023-07-04 00:40:09,2023-07-04 00:40:09,0.468s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Finance Details/h3_Finance Details""))",Chrome 114.0.0.0,,,2023-07-04 00:40:09,2023-07-04 00:40:10,0.439s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Finance Details/select_All""))",Chrome 114.0.0.0,,,2023-07-04 00:40:10,2023-07-04 00:40:10,0.387s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Finance Details/select_All_adjustment""))",Chrome 114.0.0.0,,,2023-07-04 00:40:10,2023-07-04 00:40:10,0.399s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Finance Details/input_Date Range_form-control date_range""))",Chrome 114.0.0.0,,,2023-07-04 00:40:10,2023-07-04 00:40:11,0.404s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Finance Details/button_Search""))",Chrome 114.0.0.0,,,2023-07-04 00:40:11,2023-07-04 00:40:11,0.405s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/select_102550100""))",Chrome 114.0.0.0,,,2023-07-04 00:40:11,2023-07-04 00:40:12,0.473s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/span_Copy""))",Chrome 114.0.0.0,,,2023-07-04 00:40:12,2023-07-04 00:40:12,0.477s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/span_CSV""))",Chrome 114.0.0.0,,,2023-07-04 00:40:12,2023-07-04 00:40:13,0.484s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/span_Excel""))",Chrome 114.0.0.0,,,2023-07-04 00:40:13,2023-07-04 00:40:13,0.478s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/span_PDF""))",Chrome 114.0.0.0,,,2023-07-04 00:40:13,2023-07-04 00:40:14,0.480s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/input_Search_form-control form-control-sm""))",Chrome 114.0.0.0,,,2023-07-04 00:40:14,2023-07-04 00:40:14,0.461s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Finance Details/select_102550100""))",Chrome 114.0.0.0,,,2023-07-04 00:40:14,2023-07-04 00:40:15,0.494s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Finance Details/span_Copy""))",Chrome 114.0.0.0,,,2023-07-04 00:40:15,2023-07-04 00:40:15,0.422s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Finance Details/span_CSV""))",Chrome 114.0.0.0,,,2023-07-04 00:40:15,2023-07-04 00:40:15,0.425s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Finance Details/span_Excel""))",Chrome 114.0.0.0,,,2023-07-04 00:40:15,2023-07-04 00:40:16,0.402s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Finance Details/span_PDF""))",Chrome 114.0.0.0,,,2023-07-04 00:40:16,2023-07-04 00:40:16,0.405s,PASSED
"verifyElementVisible(findTestObject(""Transaction/Finance Details/input_Search_form-control form-control-sm""))",Chrome 114.0.0.0,,,2023-07-04 00:40:16,2023-07-04 00:40:17,0.407s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/th_Type""))",Chrome 114.0.0.0,,,2023-07-04 00:40:17,2023-07-04 00:40:17,0.466s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/th_Username""))",Chrome 114.0.0.0,,,2023-07-04 00:40:17,2023-07-04 00:40:18,0.452s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/th_Currency""))",Chrome 114.0.0.0,,,2023-07-04 00:40:18,2023-07-04 00:40:18,0.449s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/th_Amount""))",Chrome 114.0.0.0,,,2023-07-04 00:40:18,2023-07-04 00:40:18,0.469s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/th_Before""))",Chrome 114.0.0.0,,,2023-07-04 00:40:18,2023-07-04 00:40:19,0.464s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/th_After""))",Chrome 114.0.0.0,,,2023-07-04 00:40:19,2023-07-04 00:40:19,0.467s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/th_Remark""))",Chrome 114.0.0.0,,,2023-07-04 00:40:19,2023-07-04 00:40:20,0.477s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/th_CoinCash""))",Chrome 114.0.0.0,,,2023-07-04 00:40:20,2023-07-04 00:40:20,0.435s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""Transaction/Finance Details/th_Method""))",Chrome 114.0.0.0,,,2023-07-04 00:40:20,2023-07-04 00:40:21,0.468s,PASSED
