Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 114.0.0.0,,,2023-06-14 16:30:22,2023-06-14 16:31:08,45.554s,PASSED
,,,,,,,
Test Cases/User/Member/List,Chrome 114.0.0.0,,,2023-06-14 16:30:23,2023-06-14 16:30:50,26.830s,PASSED
"callTestCase(findTestCase(""Login Admin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-14 16:30:24,2023-06-14 16:30:47,23.671s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-14 16:30:47,2023-06-14 16:30:48,0.697s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-14 16:30:48,2023-06-14 16:30:49,0.663s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_List""))",Chrome 114.0.0.0,,,2023-06-14 16:30:49,2023-06-14 16:30:49,0.485s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_List""))",Chrome 114.0.0.0,,,2023-06-14 16:30:49,2023-06-14 16:30:50,0.594s,PASSED
,,,,,,,
Test Cases/User/Member/Limited List,Chrome 114.0.0.0,,,2023-06-14 16:30:50,2023-06-14 16:30:52,2.796s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-14 16:30:50,2023-06-14 16:30:51,0.459s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-14 16:30:51,2023-06-14 16:30:51,0.555s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_Limited List""))",Chrome 114.0.0.0,,,2023-06-14 16:30:51,2023-06-14 16:30:52,0.510s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_Limited List""))",Chrome 114.0.0.0,,,2023-06-14 16:30:52,2023-06-14 16:30:52,0.555s,PASSED
,,,,,,,
Test Cases/User/Member/Search,Chrome 114.0.0.0,,,2023-06-14 16:30:52,2023-06-14 16:30:55,2.676s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-14 16:30:53,2023-06-14 16:30:54,0.487s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-14 16:30:54,2023-06-14 16:30:54,0.582s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_Search""))",Chrome 114.0.0.0,,,2023-06-14 16:30:54,2023-06-14 16:30:55,0.486s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_Search""))",Chrome 114.0.0.0,,,2023-06-14 16:30:55,2023-06-14 16:30:55,0.561s,PASSED
,,,,,,,
Test Cases/User/Member/Wallet Negative,Chrome 114.0.0.0,,,2023-06-14 16:30:55,2023-06-14 16:30:58,2.780s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-14 16:30:56,2023-06-14 16:30:56,0.497s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-14 16:30:56,2023-06-14 16:30:57,0.557s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_Wallet Negative""))",Chrome 114.0.0.0,,,2023-06-14 16:30:57,2023-06-14 16:30:57,0.500s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_Wallet Negative""))",Chrome 114.0.0.0,,,2023-06-14 16:30:57,2023-06-14 16:30:58,0.570s,PASSED
,,,,,,,
Test Cases/User/Member/Wallet Positive,Chrome 114.0.0.0,,,2023-06-14 16:30:58,2023-06-14 16:31:01,2.967s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-14 16:30:59,2023-06-14 16:30:59,0.546s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-14 16:30:59,2023-06-14 16:31:00,0.589s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_Wallet Positive""))",Chrome 114.0.0.0,,,2023-06-14 16:31:00,2023-06-14 16:31:00,0.504s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_Wallet Positive""))",Chrome 114.0.0.0,,,2023-06-14 16:31:00,2023-06-14 16:31:01,0.646s,PASSED
,,,,,,,
Test Cases/User/Member/Tracking,Chrome 114.0.0.0,,,2023-06-14 16:31:01,2023-06-14 16:31:04,2.610s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-14 16:31:02,2023-06-14 16:31:02,0.445s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-14 16:31:02,2023-06-14 16:31:03,0.532s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_Tracking""))",Chrome 114.0.0.0,,,2023-06-14 16:31:03,2023-06-14 16:31:03,0.491s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_Tracking""))",Chrome 114.0.0.0,,,2023-06-14 16:31:03,2023-06-14 16:31:04,0.525s,PASSED
,,,,,,,
Test Cases/User/Member/Duplicate IP Logins,Chrome 114.0.0.0,,,2023-06-14 16:31:04,2023-06-14 16:31:08,4.358s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-14 16:31:05,2023-06-14 16:31:06,0.480s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_User""))",Chrome 114.0.0.0,,,2023-06-14 16:31:06,2023-06-14 16:31:07,1.181s,PASSED
"com.reusableComponent.HighlightElement.run(findTestObject(""User/Page_Dashboard/Member/span_Duplicate IP Logins""))",Chrome 114.0.0.0,,,2023-06-14 16:31:07,2023-06-14 16:31:07,0.497s,PASSED
"mouseOver(findTestObject(""User/Page_Dashboard/Member/span_Duplicate IP Logins""))",Chrome 114.0.0.0,,,2023-06-14 16:31:07,2023-06-14 16:31:08,0.541s,PASSED
